"Date","Price","Open","High","Low","Vol.","Change %"
"04-06-2017","95.29","100.53","102.18","94.61","50.26M","-5.27%"
"28-05-2017","100.59","100.00","104.45","98.79","64.82M","0.15%"
"21-05-2017","100.44","101.08","101.08","91.38","104.56M","0.18%"
"14-05-2017","100.26","103.26","104.00","99.00","41.98M","-1.99%"
"07-05-2017","102.30","105.20","105.75","100.00","35.05M","-2.29%"
"30-04-2017","104.70","106.00","108.43","103.41","40.11M","-1.22%"
"23-04-2017","105.99","100.25","106.13","99.79","70.34M","6.12%"
"16-04-2017","99.88","95.03","103.00","95.03","86.62M","5.21%"
"09-04-2017","94.93","96.78","97.25","94.25","33.36M","-1.79%"
"02-04-2017","96.66","94.25","98.00","94.25","51.16M","2.57%"
"26-03-2017","94.24","95.70","96.74","92.90","110.75M","-1.14%"
"19-03-2017","95.33","93.45","95.75","91.66","66.55M","1.64%"
"12-03-2017","93.79","96.34","96.96","93.20","93.35M","-0.81%"
"05-03-2017","94.56","98.43","100.15","92.28","262.02M","-3.07%"
"26-02-2017","97.55","97.63","98.66","93.56","106.44M","0.53%"
"19-02-2017","97.04","95.86","99.53","95.66","91.63M","1.44%"
"12-02-2017","95.66","91.69","96.19","89.16","79.76M","5.55%"
"05-02-2017","90.63","89.94","92.69","88.60","48.74M","0.97%"
"29-01-2017","89.76","90.56","91.50","86.93","101.98M","-0.69%"
"22-01-2017","90.38","86.34","92.59","86.33","80.33M","4.76%"
"15-01-2017","86.27","84.94","88.34","81.79","95.31M","1.73%"
"08-01-2017","84.80","83.16","85.31","81.55","63.04M","2.19%"
"01-01-2017","82.98","82.50","84.52","81.38","46.11M","0.77%"
"25-12-2016","82.35","80.63","83.06","78.47","61.96M","1.77%"
"18-12-2016","80.92","77.63","81.38","77.44","40.62M","3.97%"
"11-12-2016","77.83","80.20","80.67","77.00","33.93M","-3.32%"
"04-12-2016","80.50","80.95","81.88","79.52","34.57M","-0.83%"
"27-11-2016","81.17","78.04","83.51","77.53","73.39M","3.76%"
"20-11-2016","78.23","80.63","81.28","75.19","47.07M","-2.29%"
"13-11-2016","80.06","83.06","83.78","78.86","39.06M","-2.57%"
"06-11-2016","82.17","79.82","85.50","78.38","51.27M","3.36%"
"30-10-2016","79.50","81.15","82.88","78.62","44.51M","-2.17%"
"23-10-2016","81.26","83.14","84.56","80.42","48.06M","-1.49%"
"16-10-2016","82.49","81.54","84.18","79.63","70.52M","2.22%"
"09-10-2016","80.70","78.00","81.14","76.88","46.55M","3.95%"
"02-10-2016","77.63","69.93","78.71","69.67","106.17M","10.51%"
"25-09-2016","70.25","72.01","72.56","67.08","62.29M","-2.96%"
"18-09-2016","72.39","72.86","73.88","72.06","55.25M","-0.60%"
"11-09-2016","72.83","73.01","74.16","71.89","39.09M","-1.66%"
"04-09-2016","74.06","74.37","76.44","72.25","75.87M","-0.19%"
"28-08-2016","74.20","71.42","74.34","70.40","43.77M","4.52%"
"21-08-2016","70.99","68.38","72.19","68.03","85.29M","4.06%"
"14-08-2016","68.22","70.08","70.60","67.92","38.00M","-2.75%"
"07-08-2016","70.15","71.70","72.62","69.30","21.80M","-2.20%"
"31-07-2016","71.73","71.63","72.47","69.47","29.89M","0.21%"
"24-07-2016","71.58","74.27","74.72","71.30","37.43M","-3.30%"
"17-07-2016","74.02","73.69","75.53","71.32","26.74M","0.26%"
"10-07-2016","73.83","71.11","74.81","70.60","52.15M","4.86%"
"03-07-2016","70.41","74.63","75.51","70.23","40.64M","-5.02%"
"26-06-2016","74.13","70.66","74.41","70.14","41.05M","4.82%"
"19-06-2016","70.72","72.61","73.52","67.80","34.53M","-2.60%"
"12-06-2016","72.61","68.52","72.77","68.26","48.94M","4.96%"
"05-06-2016","69.18","69.05","71.36","68.78","33.85M","-0.35%"
"29-05-2016","69.42","71.71","72.15","68.65","74.59M","-2.39%"
"22-05-2016","71.12","70.25","73.10","68.57","43.70M","2.08%"
"15-05-2016","69.67","71.27","72.75","69.38","26.49M","-2.12%"
"08-05-2016","71.18","72.55","73.99","70.37","32.17M","-1.10%"
"01-05-2016","71.97","67.50","72.54","66.85","40.93M","6.51%"
"24-04-2016","67.57","69.19","70.63","66.34","37.67M","-1.73%"
"17-04-2016","68.76","68.52","70.20","67.05","29.46M","-0.76%"
"10-04-2016","69.29","65.62","69.85","64.42","22.50M","6.39%"
"03-04-2016","65.13","65.70","66.00","62.79","26.81M","-0.09%"
"27-03-2016","65.19","66.75","67.88","64.74","44.66M","-2.37%"
"20-03-2016","66.77","68.84","69.09","66.52","16.80M","-2.27%"
"13-03-2016","68.32","63.99","68.78","62.30","48.23M","7.34%"
"06-03-2016","63.65","63.38","66.83","63.10","24.79M","-0.45%"
"28-02-2016","63.94","57.02","65.41","54.43","50.91M","12.14%"
"21-02-2016","57.02","60.94","61.87","55.86","36.19M","-6.68%"
"14-02-2016","61.10","61.39","63.53","57.72","32.63M","0.28%"
"07-02-2016","60.93","63.69","66.69","59.03","55.01M","-5.14%"
"31-01-2016","64.23","69.00","69.98","63.47","36.57M","-7.06%"
"24-01-2016","69.11","69.23","69.84","65.67","47.67M","0.45%"
"17-01-2016","68.80","62.81","69.94","61.71","37.68M","9.26%"
"10-01-2016","62.97","69.69","70.28","62.55","32.71M","-10.02%"
"03-01-2016","69.98","69.33","71.44","67.23","41.20M","0.94%"
"27-12-2015","69.33","68.08","70.86","67.44","49.75M","2.09%"
"20-12-2015","67.91","63.68","68.25","62.55","34.79M","6.64%"
"13-12-2015","63.68","62.95","67.41","62.80","41.56M","0.27%"
"06-12-2015","63.51","66.84","68.03","62.57","41.43M","-4.87%"
"29-11-2015","66.76","68.45","69.38","65.88","39.33M","-3.34%"
"22-11-2015","69.07","65.59","69.53","64.50","72.30M","5.39%"
"15-11-2015","65.54","52.78","67.48","51.95","79.65M","23.94%"
"08-11-2015","52.88","53.04","54.38","51.78","13.66M","-2.13%"
"01-11-2015","54.03","58.13","59.13","53.50","27.60M","-6.57%"
"25-10-2015","57.83","61.13","62.18","57.28","36.79M","-5.46%"
"18-10-2015","61.17","61.11","61.88","59.26","15.20M","0.38%"
"11-10-2015","60.94","58.13","61.28","57.79","19.15M","4.30%"
"04-10-2015","58.43","56.06","59.18","54.79","14.64M","6.28%"
"27-09-2015","54.98","55.25","58.43","53.34","16.43M","-0.52%"
"20-09-2015","55.27","53.79","56.79","53.12","16.73M","2.62%"
"13-09-2015","53.86","53.60","55.36","53.27","24.70M","0.73%"
"06-09-2015","53.47","52.79","55.88","51.00","39.57M","1.54%"
"30-08-2015","52.66","54.00","56.37","51.76","52.34M","-2.84%"
"23-08-2015","54.20","57.19","58.51","48.76","78.46M","-7.16%"
"16-08-2015","58.38","63.22","65.07","57.28","26.77M","-7.66%"
"09-08-2015","63.22","64.58","64.93","61.31","35.84M","-1.37%"
"02-08-2015","64.10","66.56","66.66","63.85","50.74M","-3.68%"
"26-07-2015","66.55","67.50","67.56","64.33","41.60M","-1.71%"
"19-07-2015","67.71","69.71","70.69","66.96","29.15M","-2.87%"
"12-07-2015","69.71","68.03","70.97","67.82","24.37M","3.01%"
"05-07-2015","67.67","71.58","73.07","67.15","20.62M","-6.31%"
"28-06-2015","72.23","74.25","75.23","71.84","27.08M","-3.58%"
"21-06-2015","74.91","74.42","78.36","73.36","29.90M","0.88%"
"14-06-2015","74.26","74.06","76.12","73.48","22.10M","-0.03%"
"07-06-2015","74.28","72.56","75.00","70.88","35.26M","2.60%"
"31-05-2015","72.40","73.12","74.63","69.23","26.24M","-0.70%"
"24-05-2015","72.91","74.06","74.80","69.38","55.06M","-2.08%"
"17-05-2015","74.46","71.58","74.95","71.35","19.68M","4.46%"
"10-05-2015","71.28","69.59","75.19","68.08","30.14M","2.99%"
"03-05-2015","69.21","67.88","70.21","67.00","23.63M","2.44%"
"26-04-2015","67.56","69.28","69.45","66.25","24.73M","-2.13%"
"19-04-2015","69.03","73.01","73.65","68.71","24.91M","-5.32%"
"12-04-2015","72.91","74.32","75.56","72.13","29.69M","-2.58%"
"05-04-2015","74.84","72.55","77.77","71.53","28.36M","3.73%"
"29-03-2015","72.15","71.06","73.13","70.11","25.14M","1.46%"
"22-03-2015","71.11","71.36","73.58","69.78","44.11M","0.45%"
"15-03-2015","70.79","72.38","74.14","70.33","47.45M","-2.51%"
"08-03-2015","72.61","75.35","75.35","70.54","29.67M","-3.88%"
"01-03-2015","75.54","77.44","77.81","74.55","28.34M","-0.94%"
"22-02-2015","76.26","76.68","77.48","73.91","43.81M","-0.56%"
"15-02-2015","76.69","76.13","77.72","75.40","18.49M","1.19%"
"08-02-2015","75.79","73.31","80.40","73.31","45.56M","-3.65%"
"01-02-2015","78.66","79.35","83.05","76.50","41.17M","-0.82%"
"25-01-2015","79.31","79.39","80.16","77.36","39.14M","0.01%"
"18-01-2015","79.30","78.98","83.68","78.82","52.77M","-0.48%"
"11-01-2015","79.68","81.56","81.65","78.03","44.05M","-2.38%"
"04-01-2015","81.62","83.13","84.53","78.28","52.33M","-2.09%"
"28-12-2014","83.36","82.29","84.38","81.47","23.17M","1.58%"
"21-12-2014","82.06","81.80","84.75","80.63","33.65M","0.59%"
"14-12-2014","81.58","78.28","82.61","75.98","56.38M","2.54%"
"07-12-2014","79.56","87.93","88.68","77.85","45.64M","-9.59%"
"30-11-2014","88.00","91.22","91.87","86.44","30.47M","-3.87%"
"23-11-2014","91.54","89.49","93.63","87.94","36.75M","2.62%"
"16-11-2014","89.20","90.99","94.12","87.97","30.16M","-2.85%"
